Term,Definition
N number,The registration number on a US-registered plane. The letter N is the letter internationally used to identify a US plane.
Navaid,"Stands for Navigational Aid, a device in an aircraft used to help with navigation."
Oil pressure gauge,An instrument in the aircraft that shows the pressure of the lubricating oil in the engine.
Operating limitations,"Indicates limits for a specific aircraft’s speed, weight, pressure, and passenger and crew size. The limits are determined by the aircraft manufacturer."
Pilot in command (PIC),The pilot responsible for the safety and operation of the plane for the duration of the flight.
Pitch,A motion on an aircraft's lateral axis (which runs from wing to wing) that causes the forward end to rise or fall.
Preignition,Ignition that takes place in an internal combustion engine before the usual ignition occurs.
Primary flight display,"Also called ""PDF"", this is the electronic display screen that indicates the horizon, altitude, airspeed, vertical speed, rate of turn, trend and more."
Propeller,A rotating piece powered by the engine that produces thrust to propel the airplane through the air.
Quadraplane,"A type of aircraft that has four or more wings of similar spans, also known as quadruplanes."
Radar Approach Control Facility (RAPCON),"A facility based in an airport terminal that uses both non-radar and radar to provide services for planes that are moving through a controlled airspace, landing, or taking off. RAPCONs commonly operate near civil and military airports and may be controlled by the FAA, military or both."
Registration number,The number assigned to an aircraft by the government for purposes of identification. The number must be displayed on the exterior of the aircraft so it is visible.
Roll,Motion on an aircraft along its nose-to-tail axis.
Rudder,"A vertical control surface in the tail of an airplane, which controls the side-to-side movement (YAW) of an aircraft."
Runway,A rectangular area of the ground set aside for aircraft to land and take-off.
Short field,A short runway length at the airport that requires a pilot to take off or land an aircraft within the shortest possible distance.
Single engine,An aircraft with just one engine. Single-engined jets include light aircraft such as Cessnas.
Soft field,An unpaved airport runway typically comprised of grass or dirt.
SQUAWK,A four-digit number assigned to an aircraft. The pilot can use this number to identify his or her plane when contacting ATC.
Stall,An aircraft condition when the angle of attack is so great that the air no longer flows easily over the airfoil.
Straight flight,The flight maneuver that causes the aircraft to maintain the same direction.
Tail,The aerodynamic surfaces located at the rear of an aircraft.
Threshold,The portion of a runway that is available for landing.
Throttle,A valve in the carburetor that controls the amount of fuel that can enter the engine.
Thrust,An aerodynamic force produced by a propeller or engine that pushes an aircraft forward.
Torque,A force that aims to produce rotation.
Tower,A radio call sign used to reach the local controller.
Transponder,The device carried in an airplane that produces a coded pattern which is recognized on an air traffic control radar screen.
True airspeed,"Also called ""TAS""; the speed of an aircraft as it moves through the air. The number is corrected to account for temperature and altitude."
True altitude,The distance of an aircraft above sea level. This is represented in Mean Sea Level.
Turbosuperchargers,"A turbine-driven forced induction device, also known as a turbocharger. It increases the power and efficiency of a combustion engine and is used in aviation and ground vehicles."
Upwind leg,A flight path that runs parallel to the landing runway in the same direction as landing.
Urgent condition,"A potential distress scenario that requires assistance, though not necessarily immediate."
Vertical Speed Indicator (VSI),"A panel instrument that measures the rate of climb or descent in feet-per-minute, by sensing the change in atmospheric pressure. The VSI is also known as a variometer."
Very high frequency omnidirectional range,"Also called ""VOR"", this is a short-range radio navigation system that allows aircraft to determine their position and receive radio signals from beacons on the ground."
Weight-shift-control,"A method of steering an aircraft such as a hand glider or paraglider. The pilot uses their weight to steer the craft, pushing against a triangular control bar that’s attached to the wing structure."
Wind Shear,A quick change in wind speed or wind direction at any angle.
Wing,The piece of a heavier-than-air aircraft that creates aerodynamic lift.
Wing walker,An employee on the ground who assists the aircraft by walking on the wings to ensure there is ample space for clearance.
YAW,The side-to-side movement of an aircraft on its vertical axis.
Yoke,"The control wheel of an aircraft, similar to a car steering wheel."
Zulu Time,"A term for Universal Coordinated Time (UTC), also known as Greenwich Mean Time. All flight plans use Zulu Time."
